Field	Year	gender
Computer science	1980	male
Psychology	1980	female
Economics	1980	male
Psychology	1980	female
Political science	1980	male
Chemistry	1980	male
Biology	1980	male
Biology	1980	male
Economics	1980	male
Economics	1980	male
Mathematics	1980	male
Mathematics	1980	male
Mathematics	1980	male
Economics	1980	male
Geology	1980	male
Economics	1980	female
Physics	1980	male
Political science	1980	male
Geology	1980	male
Computer science	1980	male
Biology	1980	male
Biology	1980	male
Biology	1980	male
Biology	1980	male
Engineering	1980	male
Economics	1980	male
Medicine	1980	male
Biology	1980	male
Biology	1980	male
Mathematics	1980	male
Medicine	1980	male
Biology	1980	male
Biology	1980	male
Political science	1981	male
Computer science	1981	male
Psychology	1981	female
Economics	1981	male
Psychology	1981	female
Political science	1981	male
Chemistry	1981	male
Biology	1981	male
Biology	1981	male
Economics	1981	male
Economics	1981	male
Mathematics	1981	male
Political science	1981	male
Biology	1981	male
Mathematics	1981	male
Mathematics	1981	male
Economics	1981	male
Geology	1981	male
Physics	1981	male
Political science	1981	male
Geology	1981	male
Computer science	1981	male
Biology	1981	male
Biology	1981	male
Biology	1981	male
Biology	1981	male
Physics	1981	male
Biology	1981	male
Engineering	1981	male
Economics	1981	male
Medicine	1981	male
Biology	1981	male
Biology	1981	male
Computer science	1981	male
Mathematics	1981	male
Medicine	1981	male
Biology	1981	male
Biology	1981	male
Political science	1982	male
Computer science	1982	male
Psychology	1982	female
Economics	1982	male
Psychology	1982	female
Political science	1982	male
Chemistry	1982	male
Biology	1982	male
Economics	1982	male
Economics	1982	male
Mathematics	1982	male
Political science	1982	male
Biology	1982	male
Mathematics	1982	male
Mathematics	1982	male
Economics	1982	male
Economics	1982	male
Geology	1982	male
Chemistry	1982	male
Physics	1982	male
Political science	1982	male
Geology	1982	male
Biology	1982	male
Physics	1982	male
Computer science	1982	male
Biology	1982	male
Biology	1982	male
Biology	1982	male
Biology	1982	male
Economics	1982	male
Biology	1982	male
Physics	1982	male
Biology	1982	male
Engineering	1982	male
Biology	1982	male
Computer science	1982	male
Economics	1982	male
Medicine	1982	male
Biology	1982	male
Biology	1982	male
Computer science	1982	male
Mathematics	1982	male
Medicine	1982	male
Biology	1982	male
Biology	1982	male
Political science	1983	male
Computer science	1983	male
Economics	1983	male
Psychology	1983	female
Political science	1983	male
Chemistry	1983	male
Biology	1983	male
Physics	1983	male
Economics	1983	male
Economics	1983	male
Mathematics	1983	male
Political science	1983	male
Biology	1983	male
Mathematics	1983	male
Mathematics	1983	male
Economics	1983	male
Medicine	1983	male
Physics	1983	male
Economics	1983	male
Physics	1983	male
Political science	1983	male
Geology	1983	male
Biology	1983	male
Physics	1983	male
Computer science	1983	male
Biology	1983	male
Biology	1983	male
Biology	1983	male
Biology	1983	male
Economics	1983	male
Biology	1983	male
Physics	1983	male
Biology	1983	male
Chemistry	1983	male
Engineering	1983	male
Biology	1983	male
Computer science	1983	male
Economics	1983	male
Medicine	1983	male
Biology	1983	male
Computer science	1983	male
Mathematics	1983	male
Medicine	1983	male
Biology	1983	male
Biology	1983	male
Political science	1984	male
Computer science	1984	male
Computer science	1984	male
Computer science	1984	male
Economics	1984	male
Psychology	1984	female
Political science	1984	male
Chemistry	1984	male
Biology	1984	male
Physics	1984	male
Economics	1984	male
Economics	1984	male
Computer science	1984	male
Mathematics	1984	male
Political science	1984	male
Biology	1984	male
Mathematics	1984	male
Mathematics	1984	male
Computer science	1984	male
Chemistry	1984	male
Medicine	1984	male
Physics	1984	male
Economics	1984	male
Economics	1984	male
Physics	1984	male
Political science	1984	male
Geology	1984	male
Biology	1984	male
Physics	1984	male
Computer science	1984	male
Computer science	1984	male
Biology	1984	male
Biology	1984	male
Biology	1984	male
Biology	1984	male
Physics	1984	male
Economics	1984	male
Biology	1984	male
Physics	1984	male
Biology	1984	male
Chemistry	1984	male
Engineering	1984	male
Chemistry	1984	male
Biology	1984	male
Biology	1984	male
Computer science	1984	male
Medicine	1984	male
Biology	1984	male
Computer science	1984	male
Computer science	1984	male
Mathematics	1984	male
Medicine	1984	male
Biology	1984	male
Biology	1984	male
Political science	1985	male
Computer science	1985	male
Economics	1985	male
Computer science	1985	male
Psychology	1985	female
Political science	1985	male
Chemistry	1985	male
Biology	1985	male
Physics	1985	male
Economics	1985	male
Economics	1985	male
Computer science	1985	male
Mathematics	1985	male
Political science	1985	male
Biology	1985	male
Mathematics	1985	male
Mathematics	1985	male
Medicine	1985	male
Physics	1985	male
Economics	1985	male
Economics	1985	male
Computer science	1985	male
Physics	1985	male
Political science	1985	male
Geology	1985	male
Biology	1985	male
Physics	1985	male
Computer science	1985	male
Computer science	1985	male
Biology	1985	male
Biology	1985	male
Biology	1985	male
Biology	1985	male
Physics	1985	male
Biology	1985	male
Physics	1985	male
Biology	1985	male
Chemistry	1985	male
Mathematics	1985	male
Engineering	1985	male
Chemistry	1985	male
Computer science	1985	male
Computer science	1985	male
Medicine	1985	male
Biology	1985	male
Computer science	1985	male
Mathematics	1985	male
Biology	1985	male
Medicine	1985	male
Biology	1985	male
Political science	1986	male
Economics	1986	male
Computer science	1986	male
Psychology	1986	female
Political science	1986	male
Chemistry	1986	male
Biology	1986	male
Physics	1986	male
Economics	1986	male
Economics	1986	male
Mathematics	1986	male
Mathematics	1986	male
Political science	1986	male
Biology	1986	male
Mathematics	1986	male
Mathematics	1986	male
Medicine	1986	male
Physics	1986	male
Economics	1986	male
Computer science	1986	male
Biology	1986	male
Physics	1986	male
Computer science	1986	male
Physics	1986	male
Political science	1986	male
Geology	1986	male
Biology	1986	male
Physics	1986	male
Computer science	1986	male
Biology	1986	male
Biology	1986	male
Biology	1986	male
Physics	1986	male
Biology	1986	male
Physics	1986	male
Biology	1986	male
Chemistry	1986	male
Physics	1986	male
Engineering	1986	male
Chemistry	1986	male
Mathematics	1986	male
Computer science	1986	male
Medicine	1986	male
Biology	1986	male
Physics	1986	male
Computer science	1986	male
Mathematics	1986	male
Biology	1986	male
Medicine	1986	male
Psychology	1986	male
Biology	1986	male
Computer science	1986	male
Physics	1986	male
Biology	1986	male
Mathematics	1986	male
Political science	1987	male
Chemistry	1987	male
Economics	1987	male
Computer science	1987	male
Psychology	1987	female
Political science	1987	male
Chemistry	1987	male
Biology	1987	male
Physics	1987	male
Economics	1987	male
Economics	1987	male
Computer science	1987	male
Mathematics	1987	male
Mathematics	1987	male
Engineering	1987	male
Economics	1987	male
Political science	1987	male
Mathematics	1987	male
Mathematics	1987	male
Biology	1987	female
Medicine	1987	male
Physics	1987	male
Economics	1987	male
Computer science	1987	male
Biology	1987	male
Physics	1987	male
Computer science	1987	male
Physics	1987	male
Political science	1987	male
Geology	1987	male
Biology	1987	male
Psychology	1987	male
Physics	1987	male
Computer science	1987	male
Biology	1987	male
Biology	1987	male
Biology	1987	male
Physics	1987	male
Biology	1987	male
Medicine	1987	male
Biology	1987	male
Chemistry	1987	male
Engineering	1987	male
Physics	1987	male
Chemistry	1987	male
Computer science	1987	male
Physics	1987	male
Computer science	1987	male
Engineering	1987	male
Biology	1987	male
Mathematics	1987	male
Biology	1987	male
Chemistry	1987	male
Materials science	1987	male
Economics	1987	male
Computer science	1987	male
Medicine	1987	male
Biology	1987	male
Biology	1987	male
Computer science	1987	male
Mathematics	1987	male
Biology	1987	male
Medicine	1987	male
Psychology	1987	male
Biology	1987	male
Physics	1987	male
Biology	1987	male
Mathematics	1987	male
Political science	1988	male
Chemistry	1988	male
Chemistry	1988	male
Economics	1988	male
Computer science	1988	male
Psychology	1988	female
Political science	1988	male
Chemistry	1988	male
Biology	1988	male
Physics	1988	male
Physics	1988	male
Economics	1988	male
Economics	1988	male
Computer science	1988	male
Mathematics	1988	male
Engineering	1988	male
Economics	1988	male
Biology	1988	male
Political science	1988	male
Mathematics	1988	male
Mathematics	1988	male
Biology	1988	female
Medicine	1988	male
Political science	1988	female
Physics	1988	male
Economics	1988	male
Computer science	1988	male
Biology	1988	male
Physics	1988	male
Computer science	1988	male
Physics	1988	male
Political science	1988	male
Geology	1988	male
Biology	1988	male
Physics	1988	male
Computer science	1988	male
Biology	1988	male
Biology	1988	male
Biology	1988	male
Physics	1988	male
Medicine	1988	male
Biology	1988	male
Chemistry	1988	male
Engineering	1988	male
Physics	1988	male
Computer science	1988	male
Physics	1988	male
Computer science	1988	male
Biology	1988	male
Biology	1988	male
Mathematics	1988	male
Biology	1988	male
Chemistry	1988	male
Economics	1988	male
Computer science	1988	male
Medicine	1988	male
Biology	1988	male
Biology	1988	male
Computer science	1988	male
Biology	1988	female
Mathematics	1988	male
Biology	1988	male
Computer science	1988	male
Medicine	1988	male
Medicine	1988	male
Psychology	1988	male
Biology	1988	male
Physics	1988	male
Biology	1988	male
Chemistry	1988	male
Mathematics	1988	male
Political science	1989	male
Chemistry	1989	male
Chemistry	1989	male
Economics	1989	male
Computer science	1989	male
Psychology	1989	female
Political science	1989	male
Chemistry	1989	male
Biology	1989	male
Physics	1989	male
Engineering	1989	male
Economics	1989	male
Economics	1989	male
Mathematics	1989	male
Mathematics	1989	male
Engineering	1989	male
Economics	1989	male
Biology	1989	male
Political science	1989	male
Mathematics	1989	male
Mathematics	1989	male
Engineering	1989	male
Biology	1989	female
Medicine	1989	male
Economics	1989	male
Physics	1989	male
Biology	1989	male
Computer science	1989	male
Biology	1989	male
Biology	1989	female
Physics	1989	male
Computer science	1989	male
Physics	1989	male
Political science	1989	male
Geology	1989	male
Biology	1989	male
Physics	1989	male
Computer science	1989	male
Biology	1989	male
Biology	1989	male
Biology	1989	male
Medicine	1989	male
Medicine	1989	male
Biology	1989	male
Chemistry	1989	male
Engineering	1989	male
Physics	1989	male
Biology	1989	male
Computer science	1989	male
Physics	1989	male
Computer science	1989	male
Biology	1989	male
Biology	1989	male
Biology	1989	male
Biology	1989	male
Physics	1989	male
Chemistry	1989	male
Economics	1989	male
Biology	1989	male
Computer science	1989	male
Medicine	1989	male
Biology	1989	male
Biology	1989	male
Computer science	1989	male
Biology	1989	female
Mathematics	1989	male
Biology	1989	male
Computer science	1989	male
Medicine	1989	male
Medicine	1989	male
Psychology	1989	male
Biology	1989	male
Biology	1989	male
Chemistry	1989	male
Political science	1989	female
Political science	1990	male
Chemistry	1990	male
Economics	1990	male
Computer science	1990	male
Political science	1990	male
Biology	1990	male
Political science	1990	male
Engineering	1990	male
Economics	1990	male
Economics	1990	male
Biology	1990	male
Mathematics	1990	male
Mathematics	1990	male
Engineering	1990	male
Economics	1990	male
Biology	1990	male
Political science	1990	male
Computer science	1990	male
Mathematics	1990	male
Mathematics	1990	male
Engineering	1990	male
Biology	1990	female
Biology	1990	male
Economics	1990	male
Physics	1990	male
Biology	1990	male
Biology	1990	male
Computer science	1990	male
Biology	1990	male
Biology	1990	female
Computer science	1990	male
Physics	1990	male
Economics	1990	male
Computer science	1990	male
Physics	1990	male
Political science	1990	male
Geology	1990	male
Biology	1990	male
Physics	1990	male
Computer science	1990	male
Geology	1990	female
Biology	1990	male
Biology	1990	male
Biology	1990	male
Medicine	1990	male
Medicine	1990	male
Biology	1990	male
Chemistry	1990	male
Biology	1990	male
Engineering	1990	male
Physics	1990	male
Biology	1990	male
Geology	1990	male
Engineering	1990	male
Computer science	1990	male
Physics	1990	male
Computer science	1990	male
Biology	1990	male
Chemistry	1990	male
Biology	1990	male
Biology	1990	male
Biology	1990	male
Physics	1990	male
Chemistry	1990	male
Biology	1990	male
Economics	1990	male
Computer science	1990	male
Biology	1990	male
Chemistry	1990	male
Computer science	1990	male
Biology	1990	female
Mathematics	1990	male
Biology	1990	male
Computer science	1990	male
Medicine	1990	male
Medicine	1990	male
Psychology	1990	male
Biology	1990	male
Biology	1990	male
Economics	1990	male
Biology	1990	male
Chemistry	1990	male
Political science	1990	female
Materials science	1990	male
Political science	1991	male
Medicine	1991	male
Economics	1991	male
Computer science	1991	male
Political science	1991	male
Biology	1991	male
Political science	1991	male
Engineering	1991	male
Economics	1991	male
Economics	1991	male
Biology	1991	male
Mathematics	1991	male
Mathematics	1991	male
Engineering	1991	male
Economics	1991	male
Biology	1991	male
Political science	1991	male
Physics	1991	male
Physics	1991	male
Computer science	1991	male
Mathematics	1991	male
Mathematics	1991	male
Mathematics	1991	male
Economics	1991	male
Physics	1991	male
Political science	1991	male
Biology	1991	male
Chemistry	1991	male
Biology	1991	male
Computer science	1991	male
Biology	1991	male
Biology	1991	female
Computer science	1991	male
Physics	1991	male
Engineering	1991	male
Economics	1991	male
Computer science	1991	male
Physics	1991	male
Political science	1991	male
Geology	1991	male
Biology	1991	male
Mathematics	1991	male
Physics	1991	male
Medicine	1991	female
Computer science	1991	male
Computer science	1991	male
Biology	1991	male
Biology	1991	male
Biology	1991	male
Medicine	1991	male
Medicine	1991	male
Chemistry	1991	male
Biology	1991	male
Engineering	1991	male
Physics	1991	male
Biology	1991	male
Geology	1991	male
Computer science	1991	male
Physics	1991	male
Computer science	1991	male
Materials science	1991	male
Chemistry	1991	male
Biology	1991	male
Biology	1991	male
Physics	1991	male
Biology	1991	male
Economics	1991	male
Computer science	1991	male
Biology	1991	male
Biology	1991	male
Computer science	1991	male
Biology	1991	male
Chemistry	1991	male
Biology	1991	male
Computer science	1991	male
Biology	1991	female
Mathematics	1991	male
Biology	1991	male
Biology	1991	male
Engineering	1991	male
Computer science	1991	male
Medicine	1991	male
Biology	1991	male
Medicine	1991	male
Psychology	1991	male
Biology	1991	male
Engineering	1991	male
Biology	1991	male
Economics	1991	male
Economics	1991	male
Chemistry	1991	male
Biology	1991	male
Chemistry	1991	male
Political science	1991	female
Biology	1991	male
Political science	1992	male
Economics	1992	male
Computer science	1992	male
Economics	1992	male
Political science	1992	male
Biology	1992	male
Political science	1992	male
Biology	1992	male
Engineering	1992	male
Economics	1992	male
Economics	1992	male
Biology	1992	male
Economics	1992	male
Mathematics	1992	male
Mathematics	1992	male
Engineering	1992	male
Economics	1992	male
Biology	1992	male
Political science	1992	male
Physics	1992	male
Physics	1992	male
Computer science	1992	male
Mathematics	1992	male
Mathematics	1992	male
Economics	1992	male
Engineering	1992	male
Medicine	1992	male
Economics	1992	male
Physics	1992	male
Physics	1992	male
Political science	1992	male
Biology	1992	male
Chemistry	1992	male
Materials science	1992	male
Computer science	1992	male
Biology	1992	male
Biology	1992	female
Computer science	1992	male
Physics	1992	male
Engineering	1992	male
Biology	1992	male
Engineering	1992	female
Economics	1992	male
Computer science	1992	male
Physics	1992	male
Political science	1992	male
Geology	1992	male
Economics	1992	male
Biology	1992	male
Mathematics	1992	male
Medicine	1992	male
Computer science	1992	male
Computer science	1992	male
Biology	1992	male
Biology	1992	male
Biology	1992	male
Medicine	1992	male
Economics	1992	male
Medicine	1992	male
Chemistry	1992	male
Biology	1992	male
Engineering	1992	male
Physics	1992	male
Biology	1992	male
Computer science	1992	male
Physics	1992	male
Computer science	1992	male
Engineering	1992	male
Materials science	1992	male
Chemistry	1992	male
Biology	1992	male
Biology	1992	male
Physics	1992	male
Economics	1992	male
Computer science	1992	male
Biology	1992	male
Biology	1992	male
Computer science	1992	male
Biology	1992	male
Chemistry	1992	male
Biology	1992	male
Computer science	1992	male
Biology	1992	female
Mathematics	1992	male
Engineering	1992	male
Computer science	1992	male
Medicine	1992	male
Biology	1992	male
Chemistry	1992	male
Medicine	1992	male
Psychology	1992	male
Biology	1992	male
Engineering	1992	male
Medicine	1992	male
Biology	1992	male
Economics	1992	male
Economics	1992	male
Chemistry	1992	male
Biology	1992	male
Political science	1992	female
Biology	1992	male
Political science	1993	male
Medicine	1993	male
Economics	1993	male
Economics	1993	male
Computer science	1993	male
Economics	1993	male
Political science	1993	male
Political science	1993	male
Biology	1993	male
Engineering	1993	male
Economics	1993	male
Engineering	1993	male
Political science	1993	male
Economics	1993	male
Economics	1993	male
Biology	1993	male
Chemistry	1993	male
Economics	1993	male
Mathematics	1993	male
Mathematics	1993	male
Engineering	1993	male
Economics	1993	male
Biology	1993	male
Political science	1993	male
Physics	1993	male
Economics	1993	male
Physics	1993	male
Computer science	1993	male
Mathematics	1993	male
Mathematics	1993	male
Mathematics	1993	male
Mathematics	1993	male
Economics	1993	male
Engineering	1993	male
Medicine	1993	male
Economics	1993	female
Medicine	1993	male
Biology	1993	male
Physics	1993	male
Physics	1993	male
Political science	1993	male
Biology	1993	male
Chemistry	1993	male
Physics	1993	male
Computer science	1993	male
Biology	1993	male
Computer science	1993	male
Biology	1993	male
Biology	1993	male
Physics	1993	male
Engineering	1993	male
Biology	1993	male
Economics	1993	male
Computer science	1993	male
Physics	1993	male
Political science	1993	male
Geology	1993	male
Physics	1993	male
Economics	1993	male
Biology	1993	male
Medicine	1993	male
Mathematics	1993	male
Chemistry	1993	male
Medicine	1993	male
Computer science	1993	male
Biology	1993	male
Economics	1993	male
Biology	1993	male
Biology	1993	male
Mathematics	1993	male
Economics	1993	male
Chemistry	1993	male
Physics	1993	male
Engineering	1993	male
Physics	1993	male
Biology	1993	male
Engineering	1993	male
Physics	1993	male
Computer science	1993	male
Economics	1993	male
Physics	1993	male
Engineering	1993	male
Materials science	1993	male
Chemistry	1993	male
Chemistry	1993	male
Biology	1993	male
Biology	1993	male
Physics	1993	male
Biology	1993	male
Computer science	1993	male
Economics	1993	male
Biology	1993	male
Biology	1993	male
Biology	1993	female
Mathematics	1993	male
Computer science	1993	male
Engineering	1993	male
Computer science	1993	male
Medicine	1993	male
Biology	1993	male
Chemistry	1993	male
Medicine	1993	male
Psychology	1993	male
Biology	1993	male
Engineering	1993	male
Medicine	1993	male
Computer science	1993	male
Economics	1993	male
Economics	1993	male
Chemistry	1993	male
Biology	1993	male
Biology	1993	male
Political science	1994	male
Medicine	1994	male
Computer science	1994	male
Biology	1994	male
Economics	1994	male
Political science	1994	male
Political science	1994	male
Biology	1994	male
Engineering	1994	male
Engineering	1994	male
Political science	1994	male
Economics	1994	male
Economics	1994	male
Chemistry	1994	male
Economics	1994	male
Mathematics	1994	male
Mathematics	1994	male
Engineering	1994	male
Economics	1994	male
Biology	1994	male
Political science	1994	male
Physics	1994	male
Economics	1994	male
Physics	1994	male
Computer science	1994	male
Mathematics	1994	male
Chemistry	1994	male
Mathematics	1994	male
Mathematics	1994	male
Mathematics	1994	male
Economics	1994	male
Engineering	1994	male
Medicine	1994	male
Psychology	1994	male
Medicine	1994	male
Physics	1994	male
Physics	1994	male
Political science	1994	male
Biology	1994	male
Chemistry	1994	male
Physics	1994	male
Computer science	1994	male
Biology	1994	male
Biology	1994	male
Medicine	1994	male
Materials science	1994	male
Computer science	1994	male
Biology	1994	male
Biology	1994	male
Biology	1994	male
Physics	1994	male
Biology	1994	male
Economics	1994	male
Computer science	1994	male
Political science	1994	male
Geology	1994	male
Physics	1994	male
Economics	1994	male
Biology	1994	male
Medicine	1994	male
Mathematics	1994	male
Chemistry	1994	male
Medicine	1994	male
Biology	1994	male
Computer science	1994	male
Biology	1994	male
Biology	1994	male
Biology	1994	male
Mathematics	1994	male
Business	1994	male
Engineering	1994	male
Biology	1994	male
Economics	1994	male
Mathematics	1994	male
Chemistry	1994	male
Biology	1994	female
Physics	1994	male
Chemistry	1994	male
Physics	1994	male
Biology	1994	male
Engineering	1994	male
Biology	1994	male
Physics	1994	male
Economics	1994	male
Physics	1994	male
Engineering	1994	male
Economics	1994	male
Materials science	1994	male
Physics	1994	male
Chemistry	1994	male
Chemistry	1994	male
Biology	1994	male
Biology	1994	male
Physics	1994	male
Biology	1994	male
Computer science	1994	male
Biology	1994	male
Biology	1994	female
Biology	1994	female
Mathematics	1994	male
Medicine	1994	male
Computer science	1994	male
Engineering	1994	male
Computer science	1994	male
Medicine	1994	male
Biology	1994	male
Chemistry	1994	male
Medicine	1994	male
Psychology	1994	male
Biology	1994	male
Biology	1994	male
Engineering	1994	male
Political science	1994	female
Computer science	1994	male
Economics	1994	male
Economics	1994	male
Biology	1994	male
Biology	1994	male
Computer science	1994	male
Biology	1994	male
Political science	1995	male
Mathematics	1995	male
Medicine	1995	male
Computer science	1995	male
Medicine	1995	male
Computer science	1995	male
Biology	1995	male
Political science	1995	male
Chemistry	1995	male
Biology	1995	male
Political science	1995	male
Biology	1995	male
Engineering	1995	male
Engineering	1995	male
Political science	1995	male
Economics	1995	male
Economics	1995	male
Chemistry	1995	male
Mathematics	1995	male
Mathematics	1995	male
Economics	1995	male
Engineering	1995	male
Economics	1995	male
Biology	1995	male
Economics	1995	female
Political science	1995	male
Physics	1995	male
Economics	1995	male
Physics	1995	male
Computer science	1995	male
Medicine	1995	male
Mathematics	1995	male
Chemistry	1995	male
Biology	1995	male
Mathematics	1995	male
Mathematics	1995	male
Mathematics	1995	male
Computer science	1995	male
Economics	1995	male
Biology	1995	male
Economics	1995	male
Engineering	1995	male
Medicine	1995	male
Psychology	1995	male
Psychology	1995	male
Physics	1995	male
Physics	1995	male
Political science	1995	male
Chemistry	1995	male
Computer science	1995	male
Physics	1995	male
Biology	1995	male
Computer science	1995	male
Biology	1995	male
Biology	1995	male
Biology	1995	male
Medicine	1995	male
Materials science	1995	male
Computer science	1995	male
Biology	1995	male
Biology	1995	male
Biology	1995	male
Biology	1995	male
Physics	1995	male
Biology	1995	male
Economics	1995	male
Computer science	1995	male
Political science	1995	male
Geology	1995	male
Physics	1995	male
Economics	1995	male
Biology	1995	male
Biology	1995	male
Medicine	1995	male
Mathematics	1995	male
Chemistry	1995	male
Medicine	1995	male
Computer science	1995	male
Political science	1995	female
Biology	1995	female
Chemistry	1995	male
Biology	1995	male
Mathematics	1995	male
Business	1995	male
Biology	1995	male
Economics	1995	male
Biology	1995	male
Mathematics	1995	male
Chemistry	1995	male
Biology	1995	female
Physics	1995	male
Chemistry	1995	male
Engineering	1995	male
Physics	1995	male
Physics	1995	male
Economics	1995	male
Physics	1995	male
Engineering	1995	male
Political science	1995	male
Materials science	1995	male
Physics	1995	male
Biology	1995	male
Chemistry	1995	male
Biology	1995	male
Biology	1995	male
Physics	1995	male
Computer science	1995	male
Computer science	1995	male
Biology	1995	male
Biology	1995	female
Biology	1995	female
Biology	1995	female
Mathematics	1995	male
Computer science	1995	male
Engineering	1995	male
Computer science	1995	male
Medicine	1995	male
Biology	1995	male
Chemistry	1995	male
Medicine	1995	male
Psychology	1995	male
Biology	1995	male
Engineering	1995	male
Computer science	1995	male
Computer science	1995	male
Economics	1995	male
Economics	1995	male
Biology	1995	male
Computer science	1995	male
Biology	1995	male
Political science	1996	male
Medicine	1996	male
Medicine	1996	male
Computer science	1996	male
Political science	1996	male
Chemistry	1996	male
Computer science	1996	male
Biology	1996	male
Political science	1996	male
Biology	1996	male
Computer science	1996	male
Engineering	1996	male
Engineering	1996	male
Political science	1996	male
Economics	1996	male
Economics	1996	male
Computer science	1996	male
Biology	1996	male
Chemistry	1996	male
Physics	1996	male
Mathematics	1996	male
Mathematics	1996	male
Economics	1996	male
Economics	1996	male
Biology	1996	male
Economics	1996	female
Political science	1996	male
Economics	1996	male
Computer science	1996	male
Medicine	1996	male
Mathematics	1996	male
Chemistry	1996	male
Mathematics	1996	male
Mathematics	1996	male
Mathematics	1996	male
Computer science	1996	male
Biology	1996	male
Economics	1996	male
Engineering	1996	male
Computer science	1996	male
Medicine	1996	male
Psychology	1996	male
Biology	1996	male
Physics	1996	male
Physics	1996	male
Political science	1996	male
Biology	1996	male
Biology	1996	male
Computer science	1996	male
Biology	1996	male
Biology	1996	male
Biology	1996	male
Medicine	1996	male
Materials science	1996	male
Biology	1996	male
Computer science	1996	male
Biology	1996	male
Biology	1996	male
Biology	1996	male
Economics	1996	male
Physics	1996	male
Biology	1996	male
Economics	1996	male
Computer science	1996	male
Biology	1996	male
Political science	1996	male
Physics	1996	male
Biology	1996	male
Biology	1996	male
Medicine	1996	male
Mathematics	1996	male
Chemistry	1996	male
Medicine	1996	male
Biology	1996	male
Computer science	1996	male
Chemistry	1996	male
Biology	1996	female
Political science	1996	female
Biology	1996	female
Chemistry	1996	male
Biology	1996	male
Mathematics	1996	male
Business	1996	male
Biology	1996	male
Biology	1996	male
Economics	1996	male
Biology	1996	male
Mathematics	1996	male
Chemistry	1996	male
Biology	1996	female
Chemistry	1996	male
Physics	1996	male
Chemistry	1996	male
Medicine	1996	male
Physics	1996	male
Physics	1996	male
Economics	1996	male
Physics	1996	male
Engineering	1996	male
Chemistry	1996	male
Physics	1996	male
Biology	1996	male
Chemistry	1996	male
Biology	1996	male
Physics	1996	male
Computer science	1996	male
Computer science	1996	male
Computer science	1996	male
Biology	1996	male
Biology	1996	male
Biology	1996	female
Geology	1996	male
Biology	1996	female
Biology	1996	female
Mathematics	1996	male
Computer science	1996	male
Mathematics	1996	male
Engineering	1996	male
Computer science	1996	male
Mathematics	1996	male
Medicine	1996	male
Chemistry	1996	male
Medicine	1996	male
Psychology	1996	male
Biology	1996	male
Engineering	1996	male
Computer science	1996	male
Computer science	1996	male
Economics	1996	male
Economics	1996	male
Biology	1996	male
Medicine	1996	male
Engineering	1996	male
Computer science	1996	male
Biology	1996	male
Political science	1997	male
Medicine	1997	male
Medicine	1997	male
Computer science	1997	male
Political science	1997	male
Computer science	1997	male
Medicine	1997	female
Geology	1997	male
Biology	1997	male
Biology	1997	male
Computer science	1997	male
Engineering	1997	male
Engineering	1997	male
Political science	1997	male
Economics	1997	male
Economics	1997	male
Computer science	1997	male
Chemistry	1997	male
Physics	1997	male
Mathematics	1997	male
Mathematics	1997	male
Biology	1997	male
Economics	1997	male
Economics	1997	female
Political science	1997	male
Economics	1997	male
Mathematics	1997	male
Chemistry	1997	male
Mathematics	1997	male
Mathematics	1997	male
Mathematics	1997	male
Computer science	1997	male
