	affiliation	affiliationMag	if_same
57	professor & head department of nephrology sanjay gandhi post graduate institute of medical sciences, lucknow, up, india	indian institute of technology delhi	0
58	professor & head department of nephrology sanjay gandhi post graduate institute of medical sciences, lucknow, up, india	national institute of technology kurukshetra	0
59	professor & head department of nephrology sanjay gandhi post graduate institute of medical sciences, lucknow, up, india	national institute of technology hamirpur	0
60	professor & head department of nephrology sanjay gandhi post graduate institute of medical sciences, lucknow, up, india	sant longowal institute of engineering and technology	0
61	professor & head department of nephrology sanjay gandhi post graduate institute of medical sciences, lucknow, up, india	indian institute of petroleum	0
62	chapel hill, nc thomas f. oaeur(tm)donnell, boston, ma marc a. passman, birmingham, al thomas proebstle, heidelberg, germany	university of north carolina at chapel hill	0
67	medical college of wisconsin david s. waugh national cancer institute at frederick steven white st. jude children's research hospital meir wilchek weizmann institute of science	university of wisconsin madison	0
69	columbia business school murillo campello johnson school, cornell university	columbia university	0
70	(iae de paris, universita(c) pantha(c)on - sorbonne) ; dongo ra(c)mi kouaba(c)nan (universita(c) de grenoble, france	paris sorbonne university	0
72	shanghai jiao tong university, shanghai, china	china university of petroleum	0
74	md, san francisco, ca charles r. mckay, md, iowa city, ia franz h. messerli, md, new orleans, la henry f. mizgala, md, vancouver, british columbia, canada	university of california san francisco	0
75	md, san diego, ca francis j. klocke, md, chicago, il daniel j. ullyot, md, san francisco, ca	university of california san diego	0
76	md, san francisco, ca	university of california san francisco	0
77	md, san francisco, ca associa~	university of california san francisco	0
78	md, phd, san francisco, ca jam	san francisco va medical center	0
79	md, phd, san francisco, ca jam	university of california san francisco	0
80	md, san diego, ca francis j. klocke, md, chicago, il suzanne b. knoebel, md, indianapolis, in daniel j. ullyot, md, san francisco, ca	university of california san diego	0
81	leibniz institute of polymer research, dresden, germany	dresden university of technology	0
82	dept. of medical genetics, clinical genetic unit, chu robert debra(c), 48 boulevard sa(c)rurier, 75019, paris, france, fax +33 1 40 03 22 77	french institute of health and medical research	0
83	western university, london, ontario, canada	university of western ontario	0
84	ontario ministry of the environment thomas r. hrabik, university of minnesota-duluth christiane hudon, environment canada	indian ministry of environment and forests	0
85	national taiwan university, taipei, taiwan, roc j. xama!n national center for research and technology development (cenidet), cuernavaca, morelos, mexico	chongqing university of technology	0
86	hong kong	the chinese university of hong kong	0
87	md, new delhi, india	aiims new delhi	0
90	los angeles, cathomas f. lindsa michael p. lilly, baltimore, md y, toronto, ontario, canada	university of california los angeles	0
91	los angeles, ca eberhard rabe, bonn, germany	university of california los angeles	0
92	los angeles, cag. matthew longo, omaha, ne	university of california los angeles	0
93	los angeles, ca	university of california los angeles	0
95	king saud university	king abdulaziz university	0
96	yale university, department of chemistry, new haven, ct 06520, usa	new england college of optometry	0
97	balliol college, oxford t. l. blundell department of crystallography, birkbeck college, london pergamon press oxford new york * toronto * sydney * paris * frankfurt	university of oxford	0
103	university of medicine toulouse-purpan, toulouse, france	university of toulouse	0
104	m.d. professor of rheumatology, sixth october university hospital, cairo, egypt	cairo university	0
107	bacterial pathogenesis laboratory queensland institute of medical research brisbane australia	qimr berghofer medical research institute	0
109	department of immunology graduate school of medicine chiba university chiba japan	chiba institute of technology	0
110	city university of new york, graduate center, 33 west 42nd street, new york 10036	state university of new york system	0
113	city university of new york, graduate center, 33 west 42nd street, new york 10036	the graduate center cuny	0
118	chinese academy of sciences (cas), national center for nanoscience and technology, beijing, china	center for excellence in education	0
119	shandong university, school of chemistry and chemical engineering, jinan, china	jinan university	0
120	shandong university, school of chemistry and chemical engineering, jinan, china	china pharmaceutical university	0
121	swiss federal laboratories for materials testing and research (empa), technology & society laboratory (tsl), st. gallen, switzerland	university of st gallen	0
123	shandong university, school of chemistry and chemical engineering, jinan, china	china university of geosciences	0
124	shandong university, school of chemistry and chemical engineering, jinan, china	tianjin university of science and technology	0
125	shandong university, school of chemistry and chemical engineering, jinan, china	naval university of engineering	0
126	head of laboratory for particles-biology interactions,swiss federal laboratories for materials science and technology, st. gallen, switzerland	university of st gallen	0
127	shandong university, school of chemistry and chemical engineering, jinan, china	tianjin university of technology and education	0
129	praha, czech republic	academy of sciences of the czech republic	0
130	chinese academy of sciences (cas), yangling shaanxi, china	chinese ministry of health	0
131	chinese academy of sciences (cas), yangling shaanxi, china	guangzhou university of chinese medicine	0
134	r.m., r.n., dip.app.sci., dip.t., b.ed., b.a.(psych)., ph.d., f.a.c.m department of health, northern territory, australia	university of south australia	0
136	f.r.s. plant science laboratories, the university, whiteknights, reading rg6 2as, berks., u.k.	university of reading	0
140	md melissa farmer, phd department of urology princess alexandra hospital university of queensland brisbane, australia	memorial hospital of south bend	0
143	md beth israel	beth israel deaconess medical center	0
144	md university of nebraska medical center omaha, ne a. martinez-noguera, md hospital st. pan barcelona, spain	suny downstate medical center	0
145	los angeles, california alan l. rector manchester, united kingdom	university of california los angeles	0
146	san francisco, california term ends december 2014 dominik aronsky zurich, switzerland	university of california san francisco	0
147	san francisco, california mario stefanelli pavia, italy	university of california san francisco	0
148	(st. louis, mo, usa), paola b. arimondo (paris, france), tracy bryan (sydney, australia), michel caboche (versles, france), juan j. calvete (valencia, spain), jonathan b.	washington university in st louis	0
149	(st. louis, mo, usa), paola b. arimondo (paris, france), michel caboche (versles, france), juan j. calvete (valencia, spain), jonathan b.	washington university in st louis	0
150	(st. louis, mo, usa), paola b. arimondo (paris, france), giuseppe baldacci (paris, france), michel caboche (versles, france), jonathan b.	washington university in st louis	0
151	(st. louis, mo, usa), paola b. arimondo (paris, france), sudip bajpeyi (el paso, tx, usa), tracy bryan (sydney, australia), juan j. calvete (valencia, spain), jonathan b.	washington university in st louis	0
154	barbara a. greene university of maryland university of oklahoma krista muis mcgill university	university of maryland college park	0
156	suny college colleen ganley florida state university, tallahassee, florida, usa	state university of new york at potsdam	0
157	ben-gurion university of the negev, israel	technion israel institute of technology	0
158	los angeles, ca/usa	university of california los angeles	0
161	western sydney university sydney, australia	university of sydney	0
162	pusan national university, korea	seoul national university	0
163	pusan national university, korea	catholic university of pusan	0
164	professor, space radiobiology, institute of modern physics, chinese academy of sciences, lanzhou, china	university of science and technology of china	0
165	assistant professor, government arts college, tiruvannamalai, india	government arts college coimbatore	0
166	stony brook, ny, usa	stony brook university	0
167	hong kong, china	li ka shing faculty of medicine university of hong kong	0
168	san francisco, ca laura flores-sarnat calgary, ab, canada	university of california san francisco	0
169	tel aviv, israel	tel aviv university	0
170	darryl c. de vivo shaul harel alan k. percy harvey s. singer loma linda, ca new york, ny tel aviv, israel	loma linda university	0
171	san francisco, ca yukio fukuyama tokyo, japan	university of california san francisco	0
172	loma linda, ca james f. bale, jr. iowa city, la tallie z. baram irvine, ca peter g. barth amsterdam, the netherlands	loma linda university	0
173	md department of pediatrics bellevue hospital center new york, ny www.cppah.com	new york university	0
175	st georgeaeur(tm)s healthcare nhs trust, london, uk	st george s university of london	0
177	(tokyo medical and dental university, japan	university of tokyo	0
180	(vienna university, austria	medical university of vienna	0
181	south university of science and technology guangdong, china	nanjing university of information science and technology	0
182	tokyo institute of technology meguro-ku, tokyo, japan	national university of defense technology	0
183	south university of science and technology guangdong, china	chengdu university of information technology	0
184	south university of science and technology guangdong, china	university of electronic science and technology of china	0
185	south university of science and technology guangdong, china	nanjing university of science and technology	0
186	south university of science and technology guangdong, china	central south university	0
187	south university of science and technology guangdong, china	china academy of engineering physics	0
188	south university of science and technology guangdong, china	shenyang university of technology	0
189	south university of science and technology guangdong, china	china pharmaceutical university	0
190	south university of science and technology guangdong, china	china medical university	0
191	south university of science and technology guangdong, china	guilin university of electronic technology	0
192	south university of science and technology guangdong, china	southern university and a m college	0
193	toulouse school of economics, france	university of toulouse	0
199	department of medical oncology, university of athens, athens, greece	national and kapodistrian university of athens	0
200	department of medical oncology, memorial antalya hospital, antalya, turkey	memorial hospital of south bend	0
201	kaplan faculty of medicine, department of medical oncology, dicle university, diyarbakir, turkey	icahn school of medicine at mount sinai	0
202	department of oncology, rambam medical center, haifa, israel	tel aviv sourasky medical center	0
203	university of west florida	university of florida	0
206	(new york, usa	state university of new york system	0
207	(new york, usa	city university of new york	0
208	university of newcastle, callaghan, new south wales, australia	university of south australia	0
209	the university of hong kong, hong kong, china	china university of mining and technology	0
210	the university of hong kong, hong kong, china	south china university of technology	0
211	the university of hong kong, hong kong, china	university of science and technology of china	0
212	the university of hong kong, hong kong, china	south china agricultural university	0
214	the university of hong kong, hong kong, china	china pharmaceutical university	0
215	the university of hong kong, hong kong, china	the chinese university of hong kong	0
216	the university of hong kong, hong kong, china	china university of petroleum	0
217	the university of hong kong, hong kong, china	hong kong baptist university	0
218	national institute of agrobiological sciences, japan	tokyo institute of technology	0
219	forestry and forest products research institute japan	kihara institute for biological research	0
220	national institute of advanced industrial science and technology, japan	kanazawa institute of technology	0
221	national institute of advanced industrial science and technology, japan	tokyo university of agriculture and technology	0
224	john jay college, 444 west 56th street, new york, n.y. 10019.	city university of new york	0
225	new york city friedrich brodnitz, new york city eugene brutten, new york city bjorn fritzell, goteborg, sweden	city university of new york	0
226	city university of hong kong, china	the chinese university of hong kong	0
228	nanyang technological university, singapore	national university of singapore	0
233	phd university of north texas, denton, tx kyla wahlstrom, phd university of minnesota, minneapolis, mn matthew wolf-meyer, phd binghamton uni	university of texas health science center at san antonio	0
234	dept. of building and real estate, the hong kong	hong kong polytechnic university	0
235	dept. of thermal science and energy engineering, university of science and technology of china, #96 jinzhai road, hefei city, anhui province, china	huazhong university of science and technology	0
236	dept. of thermal science and energy engineering, university of science and technology of china, #96 jinzhai road, hefei city, anhui province, china	beijing university of civil engineering and architecture	0
237	dept. of building and real estate, the hong kong	the chinese university of hong kong	0
244	cai peking university, beijing, china	university of science and technology of china	0
246	tezpur central university, assam, india	tezpur university	0
247	national institute of fundamental studies, kandy, sri lanka	university of sri jayewardenepura	0
248	tezpur central university, assam, india	central university of rajasthan	0
249	tezpur central university, assam, india	central university of jharkhand	0
251	md washington university	washington university in st louis	0
253	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martafnez universidad complutense de madrid, madrid, spain	massachusetts institute of technology	0
254	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martafnez universidad complutense de madrid, madrid, spain	seoul national university	0
255	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martafnez universidad complutense de madrid, madrid, spain	pohang university of science and technology	0
256	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martaf nez universidad complutense de madrid, madrid, spain	seoul national university	0
257	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martaf nez universidad complutense de madrid, madrid, spain	massachusetts institute of technology	0
260	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martaf nez universidad complutense de madrid, madrid, spain	pohang university of science and technology	0
261	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martafnez universidad complutense de madrid, madrid, spain	new jersey institute of technology	0
264	the universtiy of hong kong, hong kong	li ka shing faculty of medicine university of hong kong	0
266	md, phd national cancer institute bethesda, maryland. stetler-stevensonuniversity of pennsylvania school of medicine philadelphia, pennsylvania victoria m. pratt, phd india	national institutes of health	0
270	yusuke nakamura ut m.d. anderson cancer center university of tokyo alnawaz rehemtulla houston, tx tokyo, japan	university of texas md anderson cancer center	0
271	university of california, berkeley stefania albanesi university of pittsburgh attila ambrus department of economics, duke university gadi barlevy federal reserve bank of chicago simon	university of california san diego	0
272	university of california, berkeley stefania albanesi university of pittsburgh attila ambrus department of economics, duke university gadi barlevy federal reserve bank of chicago simon	university of california los angeles	0
273	toulouse school of economics karl shell cornell university	university of toulouse	0
277	university of illinois at chicago, chicago, illinois, u.s.a. maciej j. ogorzalek university of mining and metallurgy, krakow, poland	university of illinois at urbana champaign	0
282	(anthropology) northeastern university, usa	northeastern illinois university	0
284	department of pediatrics, lady hardinge medical college and assoc kalawati saran childrenaeur(tm)s hospital, new delhi, india	birla institute of technology and science	0
285	2nd medical faculty of charles university, university hospital motol, prague, czech republic	charles university in prague	0
290	charles university, czech republic	academy of sciences of the czech republic	0
291	university of turku, finland	turku university hospital	0
292	university of south bohemia in aoeeska(c) buda>jovice, aoeeska(c) buda>jovice, czech republic	sewanee the university of the south	0
293	masaryk university in brno, czech republic	charles university in prague	0
294	turun yliopisto university of turku, turku, finland	turku university hospital	0
295	professor of cardiothoracic surgery, department of cardiac surgery, brescia, italy	university of brescia	0
296	professor of cardiology, department of cardiovascular medicine, section head electrophysiology and pacing, brescia, italy	university of brescia	0
299	md, macp visiting professor, research center for advanced science and technology the university of tokyo tokyo, japan	shiga university of medical science	0
300	md, facp emeritus professor of clinical medicine founder and	johns hopkins university school of medicine	0
301	md, macp visiting professor, research center for advanced science and technology the university of tokyo tokyo, japan	science council of japan	0
303	peking university, beijing, china	east china normal university	0
304	university of california at san diego (ucsd), la jolla, ca, usa	university of california los angeles	0
305	university of california at san diego (ucsd), la jolla, ca, usa	san diego supercomputer center	0
306	university of california at san diego (ucsd), la jolla, ca, usa	university of california berkeley	0
307	phd laboratory of applied physiology the graduate school of human and environmental studies kyoto university sakyo-ku, kyoto 606 japan	graduate school usa	0
308	mbbs shatin, hong kong	the chinese university of hong kong	0
311	mj). birmingham, alabama robert a. kreisberg, mj). birmingham, alabama michael a. lacombe, mj). norway, maine	university of alabama at birmingham	0
312	m.d. birmingham, alabama robert a. kreisberg, m.d. birmingham, alabama michael a. lacombe, m.d. norway, maine	university of alabama at birmingham	0
314	md los angeles jarrett richardson, md elizabeth a. mcdonald stony brook health school of medicine mayo clinic sciences center los angeles, california rochester, minnesota	stony brook university	0
316	national tsing hua university, taiwan qi li institute of metal research, chinese academy of sciences, china	national yang ming university	0
319	chinese academy of sciences, china	university of electronic science and technology of china	0
320	national tsing hua university, taiwan qi li institute of metal research, chinese academy of sciences, china	national chiao tung university	0
321	national tsing hua university, taiwan qi li institute of metal research, chinese academy of sciences, china	national sun yat sen university	0
323	md, ms, los angeles, ca paul c. young, md, salt lake city, ut	university of california los angeles	0
324	md, mph, san francisco, ca john m. pascoe, md, dayton, oh	university of california san francisco	0
325	san francisco, ca john m. pascoe, dayton, oh in the moment	university of california san francisco	0
326	san francisco, ca in the moment	university of california san francisco	0
329	md, mph, los angeles, ca	university of california los angeles	0
330	md, mph university of rochester school of medicine and dentistry	icahn school of medicine at mount sinai	0
331	max planck institute of psychiatry, munich, germany	max planck society	0
332	max planck institut (mpi) fa 1/4 r psychiatrie, munich, germany	max planck society	0
333	university of occupational and environmental health, japan	national institute of advanced industrial science and technology	0
335	chung-shan medical university, taiwan yoshiyuki kakehi kagawa university, japan	china medical university	0
341	chung-shan medical university, taiwan zulki i md zainuddin e national university of malaysia, malaysia	national yang ming university	0
342	chung-shan medical university, taiwan zulki i md zainuddin e national university of malaysia, malaysia	national chi nan university	0
343	chung-shan medical university, taiwan zulkiaoei md zainuddin a,e national university of malaysia, malaysia	national yang ming university	0
344	chung-shan medical university, taiwan zulkiaoei md zainuddin a,e national university of malaysia, malaysia	national chi nan university	0
345	phd, aprn-bc, gnp, faanp university of massachusetts elizabeth capezuti, phd, rn, faan	university of massachusetts medical school	0
346	phd, aprn-bc, gnp, faanp university of massachusetts elizabeth capezuti, phd, rn, faan	university of massachusetts amherst	0
348	barts heart centre, barts health nhs trust, london, uk	guy s and st thomas nhs foundation trust	0
349	centre for toxicology, the school of pharmacy, university of london, london, uk	brunel university london	0
352	dept. of pathology and microbiology, university of nebraska medical center (unmc), omaha, usa	university of nebraska lincoln	0
354	nankai university, china	china university of petroleum	0
355	n.sc., m.a., d.phil., department of experimental psychology, south parks road, oxford o x1 3ud. hon. monographs	university of oxford	0
358	the edinburgh school of agriculture, west mains road, edinburgh eh9 3jc. hon.	university of edinburgh	0
360	sub-department of animal behaviour, madingley, cambridge c b3 8aa. hon. librarian joan stevenson-hinde, sub-department of animal behaviour, cambridge cb8 3 aa. couneil	university of cambridge	0
361	school of biological sciences, university of sussex, brighton bn1 9qg, u.k. hon. newsletter	colorado school of mines	0
362	department of biology c~ preclinical medicine, bate medical building, st. andrews, fife ky16 9ts. hon.	university of st andrews	0
364	university medical center hamburg-eppendorf, hamburg, germany	university of hamburg	0
367	boston university, boston, ma, usa	university of massachusetts boston	0
370	professor of surgery, copenhagen, denmark	university of copenhagen	0
371	professor of psychology toronto, canada	university of toronto	0
372	professor of anaesthesiology tokyo, japan	university of tokyo	0
373	professor of surgery copenhagen, denmark	university of copenhagen	0
374	professor of anaesthesiology, tokyo, japan	university of tokyo	0
375	associate professor and head, university of hong kong, hong kong	li ka shing faculty of medicine university of hong kong	0
378	northwest a&f university, yangling, shaanxi, china	east china normal university	0
379	nanjing agricultural university, nanjing, china	china university of mining and technology	0
387	department of mathematics stanford university stanford, california peter frankl ra(c)nyi institute of the hungarian academy of sciences budapest, hungary	massachusetts institute of technology	0
389	institute of chemical and engineering sciences, singapore	royal institute of technology	0
390	institute of chemical and engineering sciences, singapore	university of science and technology beijing	0
391	institute of chemical and engineering sciences, singapore	xi an university of architecture and technology	0
392	institute of chemical and engineering sciences, singapore	tianjin university of science and technology	0
393	institute of chemical and engineering sciences, singapore	university of electronic science and technology of china	0
394	institute of chemical and engineering sciences, singapore	chinese academy of sciences	0
395	institute of chemical and engineering sciences, singapore	university of science and technology of china	0
396	institute of chemical and engineering sciences, singapore	nanjing university of posts and telecommunications	0
397	institute of chemical and engineering sciences, singapore	nanjing university of information science and technology	0
398	institute of chemical and engineering sciences, singapore	naval university of engineering	0
399	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of remote sensing	0
400	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of technology delhi	0
401	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	maulana azad national institute of technology	0
402	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institutes of information technology	0
403	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of information technology design and manufacturing jabalpur	0
404	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	rajendra memorial research institute of medical sciences	0
405	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	g b pant university of agriculture and technology	0
406	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of technology roorkee	0
407	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	malaviya national institute of technology jaipur	0
408	university of hawaii cancer center, china	university of hawaii at manoa	0
409	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	wadia institute of himalayan geology	0
410	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	sant longowal institute of engineering and technology	0
411	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	birla institute of technology and science	0
412	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	sam higginbottom institute of agriculture technology and sciences	0
413	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	amrita institute of medical sciences and research centre	0
414	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	nizam s institute of medical sciences	0
415	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of science	0
416	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	guru jambheshwar university of science and technology	0
417	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	mody university of science technology	0
418	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of technology kanpur	0
419	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	rajendra institute of medical sciences	0
420	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	university institute of engineering and technology panjab university	0
421	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of technology guwahati	0
422	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	post graduate institute of medical education and research	0
423	university of hawaii cancer center, china	china agricultural university	0
424	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of information technology allahabad	0
425	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	jaypee institute of information technology	0
426	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	all india institute of medical sciences	0
427	university of hawaii cancer center, china	university of science and technology of china	0
428	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	indian institute of technology bombay	0
429	anal asian institute of technology, thand james w. dy iii dy manufacturing, inc., usa	national institute of foundry and forge technology	0
430	dalian university of technology, china	china university of mining and technology	0
431	sloan school of management, massachusetts institute of technology, sloan school of management, cambridge, ma 2139, usa	karlsruhe institute of technology	0
432	ceremade univ. paris ix dauphine place du marechal de lattre le tassigny 75775 paris france	college de france	0
433	jr tel aviv university bensoussan(inria.uvua.fr washington university tel aviv, israel	washington university in st louis	0
434	national research institute of astronomy & geophysics, cairo, egypt	national institutes of health	0
436	bvsc, bsc(vet)(hons), phd m. biostats statistician gold coast health, southport, australia	gold coast hospital	0
437	rn, phd research coordinator nambour hospital sunshine coast, australia	university of the sunshine coast	0
439	professor of molecular genetics and head of pediatric molecular pathology and genetics deparetment, ankara university, (turkey	tobb university of economics and technology	0
440	professor of molecular genetics and head of pediatric molecular pathology and genetics department, ankara university, turkey	tobb university of economics and technology	0
441	professor of molecular genetics and head of pediatric molecular pathology and genetics department, ankara university, (turkey	tobb university of economics and technology	0
442	indira gandhi institute of development research, india	indian institute of technology bombay	0
444	md senior research associate division of cardiothoracic surgery davis, california, usa	university of california davis	0
445	md, phd sao paulo, brazil	federal university of sao paulo	0
446	phd san diego, ca, usa	san diego state university	0
447	m.d., ph.d. los angeles, t;.a, l s\ wei jao chen, m.d., d.mnc. taipei. taiwan. roc richard cotter, ph.d. fremont, ml, l'sa stephen c. cunnane, ph.d. toronto. canada	university of california los angeles	0
450	m stop k765, los alamos national laboratories, p.o. box 1663, los alamos, nm 87545, usa	sandia national laboratories	0
455	m.d. los angeles, ca, us	children s hospital los angeles	0
456	e. robert heitzman, m.d. san diego, ca, usa	university of california san diego	0
457	department of linguistics, california state university, long beach, 1250 bellflower blvd., long beach, ca 90840, usa	state university of new york at cortland	0
460	sandy (johannesburg, south africa	university of south africa	0
461	riekert (mount edgecombe, south africa	university of south africa	0
462	sandra (potchefstroom, south africa	university of south africa	0
463	(for african and middle east countries) department of obstetrics and gynaecology nelson r. mandela school of medicine, university of natal durban, south africa	university of kwazulu natal	0
472	university of liverpool, department o.f pharmacology & therapeutics, p.o. box 147, liverpool l693bx, england	liverpool school of tropical medicine	0
473	university of liverpool, department of pharmacology & therapeutics, p.o. box 147, liverpool l69 3bx, england	liverpool school of tropical medicine	0
474	university of liverpool, department @pharmacology & therapeutics, p.o. box 147, liverpool l69 3bx, england	liverpool school of tropical medicine	0
475	phd (1997) university of massachusetts medical center worchester, ma michael a. pfaller, md (1996) h.r. hill (1996) sao paulo, brazil	university of massachusetts amherst	0
477	ph.d. tufts university school of medicine, new england medical center, boston, ma	university of texas health science center at houston	0
478	science and technology policy research (spru), freeman centre, university of sussex, brighton bn1 9rq, uk	helsinki university of technology	0
480	md, mph professor of medicine and epidemiology and public health head, division of rheumatology and clinical immunology university of maryland school of medicine baltimore, maryland	university of maryland college park	0
481	cold spring harbor laboratory, cold spring harbor, new york, usa	new york university	0
482	hong kong	hong kong baptist university	0
483	hong kong	hong kong university of science and technology	0
484	university of queensland, brisbane, queensland, australia	university of western australia	0
485	hong kong	hong kong polytechnic university	0
486	(hong kong	the chinese university of hong kong	0
487	(new zealand	health research council of new zealand	0
488	national institute of polar research, tokyo, japan	tokyo institute of technology	0
489	university of london (u. k.) a. ziderman bar ilan university (israel	texas a m university	0
490	university of london (u.k.) a. ziderman bar ilan university (israel	texas a m university	0
491	columbia university, new york city, ny, usa	university of new mexico	0
492	duke university jeremy lise university college london, london maurizio mazzocco university of california, los angeles guillermo ordonez university of pennsylvania, usa	university of southern california	0
493	university of minnesota, minneapolis, mn, usa	federal reserve bank of minneapolis	0
495	national cancer institute , f rederick, mar yland, u.sa. mar c f eldman kennedy institute of rheumatolo gy, london, u.k.	national institutes of health	0
496	university of queensland, brisbane, australia	university of western australia	0
497	mbchb, ffa(sa) cape town, south africa	university of cape town	0
498	mbchb, ffa(sa), cape town, south africa	university of cape town	0
505	national taiwan university	national cheng kung university	0
507	national taiwan university	national taiwan university of science and technology	0
508	md, phd houston, texas silvia c. formenti, md new york, new york pierre fumoleau, md herblain, france	university of texas md anderson cancer center	0
509	md, ph houston, texas silvia c. formenti, md new york, new york pierre fumoleau, md herblain, france	new york university	0
510	md, ph houston, texas silvia c. formenti, md new york, new york pierre fumoleau, md herblain, france	university of texas md anderson cancer center	0
511	ph.d. london school of hygiene and tropical medicine sangath, goa, india	university of london	0
513	ph.d. london school of hygiene and tropical medicine london, united kingdom	university of london	0
514	ph.d. london school of hygiene and tropical medicine sangath, goa, india	public health foundation of india	0
515	m.d. the childrenaeur(tm)s hospital of philadelphia philadelphia, pennsylvania j. dennis fortenberry, m.d., m.p.h. india	university of pennsylvania	0
516	queensland institute of medical research, the bancroft centre, 300 herston road, herston brisbane qld 4029, australia	qimr berghofer medical research institute	0
517	queensland institute of medical research, p.o. royal brisbane hospital, brisbane 4029, australia	qimr berghofer medical research institute	0
518	clark-f.ondon school of hygiene and tropical medicine, uk	albert einstein college of medicine	0
519	fac. of engineering and physical sciences, university of surrey, guildford, surrey, uk	chinese academy of sciences	0
