DisplayName	JournalId	issn
Nurse Education Today	62565178	02606917
Stem Cell Research	81007815	18735061
Applied Catalysis A-general	84179801	0926860X
Spectrochimica Acta Part B: Atomic Spectroscopy	103398315	05848547
Journal of Pediatric Nursing	119745230	08825963
Seminars in Oncology Nursing	195969795	07492081
Research in Veterinary Science	196403249	00345288
Political Geography	202534398	09626298
Hellenic journal of cardiology	2754277107	11099666
Hellenic Journal of Cardiology	108791851	11099666
Performance Evaluation	45003570	01665316
World Neurosurgery	59624048	18788750
Superlattices and Microstructures	107898947	07496036
Ultrasonics Sonochemistry	130447213	13504177
Transplantation Proceedings	146061289	00411345
Science of Computer Programming	21029587	01676423
Computational Biology and Chemistry	104924063	14769271
Journal of Mathematical Psychology	126294776	00222496
Journal of Electron Spectroscopy and Related Phenomena	133911941	03682048
Journal of Hospitality and Tourism Management	187788904	14476770
Food Structure	193132355	22133291
Best Practice & Research Clinical Anaesthesiology	202824945	15216896
Computers in Human Behavior	204030396	07475632
Revue Neurologique	124451323	00353787
Computers & Chemical Engineering	150671403	00981354
Journal of Psychosomatic Research	151416048	00223999
Geoforum	169586356	00167185
Discrete Applied Mathematics	171741597	0166218X
Swarm and evolutionary computation	2764346689	22106502
Journal of building engineering	2764478331	23527102
Journal of Environmental Management	44455300	03014797
Consciousness and Cognition	75102731	10538100
Theoretical Computer Science	90727058	03043975
Solid State Ionics	101472891	01672738
European Journal of Pharmaceutical Sciences	119477091	09280987
Regulatory Peptides	163817903	01670115
Energy Policy	175056054	03014215
Annals of Nuclear Energy	197743716	03064549
Pratiques Psychologiques	207775623	12691763
Preventive medicine reports	2736416831	22113355
Journal of Pure and Applied Algebra	4805881	00224049
Operations Research Letters	27769002	01676377
Applied Surface Science	42323631	01694332
Journal of Neurolinguistics	52978869	09116044
Current Opinion in Plant Biology	69957782	13695266
Burns	133626053	03054179
Polyhedron	171616156	02775387
Human Resource Management Review	185253248	10534822
Ecological Indicators	194154261	1470160X
Geomorphology	203530175	0169555X
Women and Birth	162983661	18715192
Economic Analysis and Policy	2898574612	03135926
Gene	75702506	03781119
The Spine Journal	112180307	15299430
Reports of Practical Oncology & Radiotherapy	168508312	15071367
Journal of clinical and experimental hepatology	2764866434	09736883
spatial statistics	2765037494	22116753
Toxicology in Vitro	39580544	08872333
Contraception	82319153	00107824
Sensors and Actuators B-chemical	98455728	09254005
Chemistry and Physics of Lipids	99078529	00093084
Journal of Proteomics	100014387	18743919
International Journal of Rock Mechanics and Mining Sciences	129124101	13651609
Experimental Cell Research	132505712	00144827
Pediatric Neurology	165686931	08878994
Leukemia research reports	2764795583	22130489
Veterinary Parasitology: Regional Studies and Reports	2898096985	24059390
Methods	73539393	10462023
Social Science & Medicine	106822843	02779536
Cognitive Development	130413023	08852014
Australian Critical Care	149987840	10367314
Advances in Applied Mathematics	164906323	01968858
Acta Tropica	190456265	0001706X
Journal of Second Language Writing	192107914	10603743
International Journal of Osteopathic Medicine	200722317	17460689
Ecological Genetics and Genomics	2898331840	24059854
Journal of Chiropractic Humanities	31784138	15563499
Intermetallics	38855548	09669795
Molecular and Cellular Neuroscience	47891569	10447431
Physics Reports	48633963	03701573
Composite Structures	52363224	02638223
Energy Procedia	75069817	18766102
Clinical Nutrition	102860386	02615614
Phytomedicine	180051340	09447113
Midwifery	183131812	02666138
CIRP Annals	2898225552	00078506
Renewable Energy	815301	09601481
Ocean & Coastal Management	8178725	09645691
Chemometrics and Intelligent Laboratory Systems	69755223	01697439
Intensive and Critical Care Nursing	73565813	09643397
Chest	76900504	00123692
Economic Modelling	141184754	02649993
Finite Elements in Analysis and Design	145843112	0168874X
Chemosphere	203465130	00456535
Toxicology Letters	205878144	03784274
Molecular Genetics and Metabolism	42433034	10967192
Marine Policy	56205983	0308597X
Transfusion Clinique Et Biologique	103961758	12467820
Dyes and Pigments	137084839	01437208
Current Problems in Pediatric and Adolescent Health Care	150570842	15385442
Health Professions Education	2898264183	24523011
Current Plant Biology	2898426492	22146628
Applied Mathematics Letters	7571225	08939659
Pediatric Clinics of North America	68151621	00313955
Optical Fiber Technology	71855865	10685200
International Journal of Heat and Mass Transfer	90999920	00179310
Physiotherapy	111121700	00319406
Remote Sensing of Environment	141808269	00344257
Environmental Research	173943867	00139351
The Saudi Journal for Dental Research	2898556737	23520035
Journal of Oral and Maxillofacial Surgery	2672396	02782391
International Journal of Hydrogen Energy	48860480	03603199
International Journal of Nursing Studies	56493663	00207489
Asian Journal of Psychiatry	152361726	18762018
Journal of Experimental Marine Biology and Ecology	155333626	00220981
Gondwana Research	158567263	1342937X
International Journal for Parasitology	163169856	00207519
Food Quality and Preference	194662844	09503293
Techniques in Vascular and Interventional Radiology	201866370	10892516
Current opinion in chemical engineering	2764724535	22113398
European urology focus	2764909046	24054569
Computational Condensed Matter	2898583927	23522143
Reproductive Toxicology	1879512	08906238
Clinics in Perinatology	7604852	00955108
Field Mycology	124663017	14681641
The Journal of Sexual Medicine	159512450	17436095
Seminars in thoracic and cardiovascular surgery. Pediatric cardiac surgery annual	2764785269	10929126
Biophysical Chemistry	63395545	03014622
Orthopaedics & Traumatology-surgery & Research	99575944	18770568
Journal of Computer and System Sciences	141020589	00220000
Molecular and Biochemical Parasitology	144099348	01666851
Applied Nursing Research	144851420	08971897
Nursing Outlook	163228481	00296554
Current opinion in food science	2764555239	22147993
Journal of Financial Stability	121634618	15723089
Engineering Science and Technology, an International Journal	2764510487	22150986
Virology Reports	2898111600	22146695
Journal of the Association of Nurses in AIDS Care	133901672	10553290
Journal of Physics and Chemistry of Solids	171512606	00223697
JAAD case reports	2764486142	23525126
Econometrics and Statistics	2898363556	24523062
Wear	16737290	00431648
Japan and the World Economy	70935693	09221425
Emergency Medicine Clinics of North America	157616481	07338627
Progress in Planning	47767497	03059006
Journal of Cleaner Production	58516903	09596526
Journal of Drug Delivery Science and Technology	97205441	17732247
Journal of Molecular and Cellular Cardiology	111163638	00222828
Journal of Invertebrate Pathology	115815424	00222011
Journal of choice modelling	2764690196	17555345
Learning, Culture and Social Interaction	2764921156	22106561
Revue Francophone de Cicatrisation	2898451612	24689114
Regenerative Therapy	2898509233	23523204
Arthropod Structure & Development	38044275	14678039
Aerospace Science and Technology	61564791	12709638
Journal of Acupuncture and Meridian Studies	105094556	20052901
Journal of Electrostatics	181611401	03043886
Journal of Nursing Regulation	2764586361	21558256
Composites Communications	2898189939	24522139
Materials Letters	55626769	0167577X
Brain and Language	61781353	0093934X
European Urology	96871409	03022838
Psychosomatics	114257564	00333182
Journal of Pharmaceutical Sciences	130661733	00223549
Journal of Molecular Structure	203479135	00222860
alexandria engineering journal	2764413287	11100168
The Egyptian Rheumatologist	2764430323	11101164
Journal of Taibah University Medical Sciences	2764797630	16583612
NRIAG Journal of Astronomy and Geophysics	2764923129	20909977
Current Opinion in Toxicology	2898549711	24682020
European Annals of Otorhinolaryngology, Head and Neck Diseases	6819782	18797296
Neurobiology of Disease	35878148	09699961
Journal of International Financial Markets, Institutions and Money	82743730	10424431
Journal of Emergency Nursing	88041965	00991767
Journal of Power Sources	177147899	03787753
Preventive Veterinary Medicine	178566096	01675877
Process Safety and Environmental Protection	179185985	09575820
Microprocessors and Microsystems	195663827	01419331
Prostate international	2764768438	22878882
Biomolecular Detection and Quantification	2898160455	22147535
Journal of Industrial Information Integration	2898195457	2452414X
Digital Applications in Archaeology and Cultural Heritage	2898509050	22120548
Journal of Structural Geology	13481170	01918141
Forensic Science International: Genetics Supplement Series	70509887	18751768
Experimental Thermal and Fluid Science	130017051	08941777
Journal of Food Engineering	137362610	02608774
Seminars in Arthritis and Rheumatism	140349950	00490172
Physical Communication	148523156	18744907
Journal of the Formosan Medical Association	2755764997	09296646
Journal of The Formosan Medical Association	22003482	09296646
Early Human Development	124424368	03783782
Behavioural Processes	128158437	03766357
Radiation Physics and Chemistry	147871266	0969806X
Neuroscience & Biobehavioral Reviews	170052170	01497634
The Journal of Allergy and Clinical Immunology: In Practice	2754868259	22132198
Case Studies in Structural Engineering	2898595900	22143998
Research Policy	9731383	00487333
Health & Place	43487215	13538292
The Journal of Molecular Diagnostics	48180145	15251578
Technovation	70698675	01664972
Molecular Phylogenetics and Evolution	96989847	10557903
Translational Research	122935314	19315244
European Journal of Cell Biology	170067410	01719335
Nano Today	183222223	17480132
Sustainability of Water Quality and Ecology	2898273010	22126139
Smart Health	2898605202	23526483
Solid State Nuclear Magnetic Resonance	13909153	09262040
Transportation Research Part F-traffic Psychology and Behaviour	51141438	13698478
Neurochemistry International	53315755	01970186
Progress in Solid State Chemistry	185988428	00796786
Trends in Cognitive Sciences	192051125	13646613
Journal of Geriatric Oncology	199414623	18794068
Journal of global antimicrobial resistance	2764745279	22137165
Surgical Clinics of North America	38766774	00396109
Journal of Phonetics	42504509	00954470
Applied Mathematics and Computation	50372074	00963003
Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences	77764115	13698486
Cryobiology	87343901	00112240
Finance Research Letters	88577320	15446123
Microelectronics Journal	98831239	00262692
BioSystems	99347777	03032647
Computer Methods and Programs in Biomedicine	138959710	01692607
The Breast	181123643	09609776
Mathematics and Computers in Simulation	32114090	03784754
Journal of the American College of Cardiology	60865174	07351097
Computers & Mathematics With Applications	73535193	08981221
Aggression and Violent Behavior	80014870	13591789
Journal of Structural Biology	89954039	10478477
Journal of Fluency Disorders	157553855	0094730X
Oceanologia	176690450	00783234
Additive manufacturing	2764842179	22148604
Neuropharmacology	160566677	00283908
European Journal of Combinatorics	204851967	01956698
Bulletin of Faculty of Pharmacy, Cairo University	2764566513	11100931
The Foundation Years	2215384	17441889
Toxicology and Applied Pharmacology	42307217	0041008X
Human Pathology	63477337	00468177
Nuclear Data Sheets	123665906	00903752
Journal of Criminal Justice	140176541	00472352
Journal of Shoulder and Elbow Surgery	146952083	10582746
Soils and Foundations	164417264	00380806
Transport Policy	186558940	0967070X
International Journal of Impact Engineering	9070569	0734743X
Phytochemistry	88226677	00319422
Seminars in Orthodontics	173474783	10738746
Aquaculture Reports	2764883586	23525134
Journal of Environmental Psychology	32271328	02724944
Food Research International	38919146	09639969
Archives of Psychiatric Nursing	69840963	08839417
Journal of Human Evolution	83388334	00472484
African Journal of Urology	92813228	11105704
Journal of Theoretical Biology	109682412	00225193
Computers & Electrical Engineering	121340289	00457906
Journal of Pain and Symptom Management	135898356	08853924
Journal of Behavioral and Experimental Finance	2764372386	22146350
European Journal of Obstetrics & Gynecology and Reproductive Biology	17762386	03012115
Journal of Investigative Dermatology	28607811	0022202X
Journal of Fluorine Chemistry	81947917	00221139
Experimental and Molecular Pathology	111757857	00144800
Journal of Comparative Economics	138645024	01475967
The Egyptian Journal of Critical Care Medicine	2898577454	20907303
Tourism Management	6814119	02615177
Journal of Anthropological Archaeology	34740387	02784165
Respiratory Physiology & Neurobiology	72042703	15699048
Journal of Econometrics	127742747	03044076
Pervasive and Mobile Computing	140982614	15741192
Progress in Aerospace Sciences	166193747	03760421
Journal of Computational Science	192071280	18777503
Precambrian Research	1025118869	03019268
Epileptology	2898168259	22128220
Medical Hypotheses	27514295	03069877
European Journal of Medicinal Chemistry	29728585	02235234
Computers & Graphics	94821547	00978493
Journal of Geometry and Physics	105977992	03930440
Computational Statistics & Data Analysis	132362803	01679473
Optics Communications	186881120	00304018
Computers & Industrial Engineering	196821226	03608352
Engineering Geology	65957803	00137952
Brain Behavior and Immunity	102243518	08891591
Antiviral Research	137372404	01663542
International Biodeterioration & Biodegradation	138354367	09648305
Minerals Engineering	181849944	08926875
Medical journal, Armed Forces India	2755570778	03771237
Climate Risk Management	2764943563	22120963
Revue du Rhumatisme	2898446404	11698330
Medicine	28966261	13573039
Journal of Approximation Theory	35093870	00219045
Pain Management Nursing	70928947	15249042
Behavioural Brain Research	81474683	01664328
Cortex	116196263	00109452
Progress in Crystal Growth and Characterization of Materials	118960844	09608974
International Journal of Food Microbiology	132626406	01681605
New Biotechnology	139345353	18716784
Journal of Electroanalytical Chemistry	143604795	15726657
Geotextiles and Geomembranes	146462558	02661144
Fungal Biology Reviews	154213423	17494613
Cement and Concrete Research	186020892	00088846
International Journal of Paleopathology	2764719519	18799817
International Journal of Surgery Case Reports	5398819	22102612
Signal Processing-image Communication	38090728	09235965
Clinical Breast Cancer	57202346	15268209
Molecular Aspects of Medicine	61794117	00982997
Journal of Alloys and Compounds	67716761	09258388
Surgery (oxford)	95587881	02639319
Marine Pollution Bulletin	101229256	0025326X
Journal of Photochemistry and Photobiology A-chemistry	102276873	10106030
Current Opinion in Cell Biology	103771297	09550674
Optik	201441698	00304026
Geoderma	201473135	00167061
Ain Shams Engineering Journal	2764993483	20904479
Journal of Rail Transport Planning & Management	2898188555	22109706
Progress in Particle and Nuclear Physics	37308595	01466410
Environmental development	2764564261	22114645
Environmental innovation and societal transitions	2764720322	22104224
Current Opinion in Physiology	2898549194	24688673
Urologic Oncology-seminars and Original Investigations	4802544	10781439
Journal of Web Semantics	20211220	15708268
Trends in Cell Biology	118628157	09628924
Journal of Terramechanics	143111890	00224898
Seminars in Cancer Biology	154149207	1044579X
Stochastic Processes and their Applications	182850260	03044149
Current Opinion in Environmental Science & Health	2898239524	24685844
Annals of Epidemiology	40844199	10472797
Ecological Complexity	82072675	1476945X
Psychiatry Research-neuroimaging	84074229	09254927
Drug and Alcohol Dependence	109998069	03768716
Comptes Rendus Mathematique	128122872	1631073X
Computational and Theoretical Chemistry	137947318	2210271X
Journal of Research in Personality	156995526	00926566
Journal of Geochemical Exploration	183209598	03756742
She Ji: The Journal of Design, Economics, and Innovation	2898472644	24058726
Engineering Analysis With Boundary Elements	5226199	09557997
Brain Research Bulletin	8119441	03619230
International Journal of Medical Microbiology	41453107	14384221
Journal of Economic Dynamics and Control	44585919	01651889
Archives of Cardiovascular Diseases	174489444	18752136
Journal of Eurasian Studies	198504937	18793665
Journal of Virological Methods	7140881	01660934
Journal of Functional Analysis	54953690	00221236
Research in Organizational Behavior	55099511	01913085
Seminars in Nephrology	67786158	02709295
Contact Lens and Anterior Eye	137552098	13670484
Seminars in Vascular Surgery	154269213	08957967
Journal of Pragmatics	186034587	03782166
The American Journal of Medicine	186920367	00029343
Analytica Chimica Acta	192559872	00032670
Veterinary Immunology and Immunopathology	194416120	01652427
American Journal of Preventive Medicine	195759676	07493797
Water Security	2898592633	24683124
Isa Transactions	89543202	00190578
International Journal of Intercultural Relations	174538591	01471767
Accident Analysis & Prevention	188336720	00014575
Journal of Forest Economics	27827792	11046899
Iatss Research	88959691	03861112
Nurse Education in Practice	139566883	14715953
Mathematical and Computer Modelling	182710874	08957177
Journal of Environmental Economics and Management	200872515	00950696
Urology Practice	2764617932	23520779
Clinical Psychology Review	4632444	02727358
Pesticide Biochemistry and Physiology	9324707	00483575
Journal of Statistical Planning and Inference	25707077	03783758
Dynamics of Atmospheres and Oceans	29696369	03770265
Materials Science in Semiconductor Processing	82126420	13698001
Surface Science Reports	120139636	01675729
Experimental Gerontology	122591147	05315565
Reliability Engineering & System Safety	202403813	09518320
Journal of Diabetes and Its Complications	23257913	10568727
Primary Care Diabetes	67695068	17519918
Powder Technology	122730748	00325910
European Journal of Integrative Medicine	131488450	18763820
Trends in Biochemical Sciences	136233269	09680004
European Neuropsychopharmacology	168041952	0924977X
Journal of Cereal Science	2456228	07335210
Clinical Gastroenterology and Hepatology	6642600	15423565
Building and Environment	56464651	03601323
Respiratory Medicine	71995303	09546111
Journal of Minimally Invasive Gynecology	73678819	15534650
Ecological Modelling	88315673	03043800
Archives of Medical Research	157833918	01884409
Trends in Anaesthesia and Critical Care	2764716574	22108440
European Journal of Cancer	16731738	09598049
Astronomy and Computing	107133554	22131337
Journal of Organometallic Chemistry	108008259	0022328X
Computer Standards & Interfaces	119630662	09205489
The Annals of Thoracic Surgery	144860794	00034975
International Journal of Solids and Structures	189344224	00207683
Oral Surgery, Oral Medicine, Oral Pathology, and Oral Radiology	985209115	22124403
Neurocomputing	45693802	09252312
Simulation Modelling Practice and Theory	114739668	1569190X
Earth and Planetary Science Letters	119230507	0012821X
Journal of Retailing	159120381	00224359
Bioorganic Chemistry	165482960	00452068
Urology	196979320	00904295
Social Networks	26186134	03788733
International Journal of Drug Policy	60503757	09553959
Hpb	185605772	1365182X
Journal of oral biology and craniofacial research	2764859361	22124268
Preventive Medicine	8081180	00917435
Decision Support Systems	11479521	01679236
Harmful Algae	26186121	15689883
Russian Literature	47189229	03043479
Pulmonary Pharmacology & Therapeutics	102131606	10945539
Integration	139392130	01679260
Sexologies	153084353	11581360
International Immunopharmacology	158377717	15675769
Biological Control	161676133	10499644
Brain Stimulation	177350161	1935861X
International Journal of Information Management	189354248	02684012
Clinical Microbiology Newsletter	10855453	01964399
Indagationes Mathematicae	46662786	00193577
Journal of Accounting and Public Policy	86762183	02784254
Journal of Biomechanics	181675524	00219290
Journal of Evidence Based Dental Practice	199347942	15323382
Journal of High Energy Astrophysics	2898380114	22144048
Applied Ocean Research	19503097	01411187
The Journal of Academic Librarianship	40528764	00991333
Transportation Research Part D-transport and Environment	45181156	13619209
Psychiatric Clinics of North America	121233926	0193953X
Operative Techniques in General Surgery	207133668	1524153X
Hand surgery and rehabilitation	2764427465	24681229
Journal of Catalysis	1959426	00219517
Microelectronic Engineering	158028765	01679317
Journal of Autoimmunity	187826688	08968411
Sustainable Energy Technologies and Assessments	2764877105	22131388
Results in Pharma Sciences	2898480747	22112863
Rhizosphere	2898510056	24522198
Advances in Engineering Software	16540516	09659978
Journal of Number Theory	40813394	0022314X
Pharmacological Research	54485712	10436618
Journal of Electromyography and Kinesiology	65425268	10506411
Journal of Endodontics	90605627	00992399
Ceramics International	106928643	02728842
Journal of Combinatorial Theory, Series A	128556326	00973165
Human Movement Science	166684315	01679457
Journal of Computational Design and Engineering	2485147958	22884300
Chinese journal of traumatology	2764832985	10081275
Applied Energy	109565702	03062619
Advances in Mathematics	122441808	00018708
Physiology & Behavior	167407068	00319384
Journal of Macroeconomics	176795851	01640704
Clinical Epidemiology and Global Health	2764432518	22133984
Journal of vascular surgery. Venous and lymphatic disorders	2764537351	2213333X
Journal of Crystal Growth	10719676	00220248
Science & Justice	23089685	13550306
Journal of Analytical and Applied Pyrolysis	58603569	01652370
Quaternary Geochronology	128829286	18711014
Blood Cells Molecules and Diseases	183588319	10799796
Scientia Horticulturae	193620188	03044238
Atherosclerosis	206830620	00219150
Current opinion in insect science	2764908915	22145745
Journal of Magnetism and Magnetic Materials	3649266	03048853
Landscape and Urban Planning	104597489	01692046
Journal of The Mechanics and Physics of Solids	105775785	00225096
Lithos	107629180	00244937
Business Horizons	113237667	00076813
Maturitas	127492747	03785122
Animal Feed Science and Technology	171407314	03778401
Journal of PeriAnesthesia Nursing	188044397	10899472
Prostaglandins & Other Lipid Mediators	49907878	10988823
Journal of Tissue Viability	103059793	0965206X
Annals of Diagnostic Pathology	133584415	10929134
Ecosystem services	2764388848	22120416
Online Social Networks and Media	2898299116	24686964
International Journal of Law and Psychiatry	44052652	01602527
Carbohydrate Polymers	64311837	01448617
Coordination Chemistry Reviews	117186765	00108545
Trends in Parasitology	182404557	14714922
Agriculture, Ecosystems & Environment	185297315	01678809
Weather and climate extremes	2764450071	22120947
Journal of Oral Biosciences	33990022	13490079
Journal of Development Economics	101209419	03043878
Microbial Pathogenesis	113190374	08824010
Accounting Forum	131296671	01559982
Case Studies in Thermal Engineering	2764363796	2214157X
Digestive and Liver Disease	69273698	15908658
Paediatric Respiratory Reviews	98953465	15260542
Jacc-cardiovascular Interventions	117995063	19368798
Tetrahedron	205754296	00404020
Progress in Surface Science	98443392	00796816
Seminars in Immunology	161731549	10445323
Applied Animal Behaviour Science	179500637	01681591
Big Data Research	2491565770	22145796
Toxicology reports	2764757124	22147500
Bioorganic & Medicinal Chemistry	10422866	09680896
Chinese Journal of Physics	169735585	05779073
Deep-sea Research Part Ii-topical Studies in Oceanography	172051550	09670645
Computer Vision and Image Understanding	185008460	10773142
Spine deformity	2764396434	2212134X
Fitoterapia	44811770	0367326X
Computer Science Review	73121659	15740137
Management Accounting Research	114140714	10445005
Food and Bioproducts Processing	115749436	09603085
Journal of Parallel and Distributed Computing	157146593	07437315
Case Studies in Nondestructive Testing and Evaluation	2736648786	22146571
Molecular Astrophysics	2898605113	24056758
Evaluation and Program Planning	1842953	01497189
International Journal of Plasticity	10186584	07496419
International Journal of Cardiology	13342628	01675273
Journal of Rural Studies	28036099	07430167
Neuromuscular Disorders	50004817	09608966
Gait & Posture	156006901	09666362
The Journal of Mathematical Behavior	161209770	07323123
Neuropsychologia	165368631	00283932
Automation in Construction	172073041	09265805
World Development Perspectives	2898425895	24522929
Australasian Emergency Care	2898446752	2588994X
Fertility and Sterility	45445671	00150282
Trends in Immunology	84926904	14714906
Composites Part B-engineering	112674977	13598368
Jacc-cardiovascular Imaging	195556561	1936878X
Parasite Epidemiology and Control	2898382742	24056731
Cryogenics	43111796	00112275
Geography and Natural Resources	62230230	18753728
Virus Research	114911520	01681702
Journal of Constructional Steel Research	154695693	0143974X
Journal of The European Ceramic Society	158447136	09552219
Electrochimica Acta	198339081	00134686
Economic Systems	206007305	09393625
Ultramicroscopy	27731274	03043991
Transportation Research Part C-emerging Technologies	64511102	0968090X
Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy	96873385	13861425
Journal of Manipulative and Physiological Therapeutics	104377164	01614754
Journal of Wind Engineering and Industrial Aerodynamics	22685659	01676105
Cognitive Psychology	36783443	00100285
American Heart Journal	46995015	00028703
Irbm	68802660	19590318
Journal of applied research in memory and cognition	2764634622	22113681
General and Comparative Endocrinology	12418545	00166480
Journal of Neuroradiology	45717877	01509861
Fungal Genetics and Biology	51923826	10871845
International Communications in Heat and Mass Transfer	118246204	07351933
Progress in Cardiovascular Diseases	192202259	00330620
Applied Acoustics	971171794	0003682X
Epidemics	24717195	17554365
Corrosion Science	96167972	0010938X
Journal of Systems Architecture	127660348	13837621
Wilderness & Environmental Medicine	131078631	10806032
Medical Dosimetry	137163093	09583947
Vehicular Communications	2480748589	22142096
Journal of Oncological Sciences	2898537173	24523364
Polar Science	14279969	18739652
Computer Speech & Language	91252481	08852308
Advances in Chronic Kidney Disease	121181480	15485595
European Journal of Vascular and Endovascular Surgery	138569045	10785884
Chemical Geology	141585851	00092541
Information Systems	193006928	03064379
Ore Geology Reviews	29724373	01691368
Marine Structures	97691390	09518339
Inorganica Chimica Acta	112227793	00201693
Frontiers in Neuroendocrinology	178650970	00913022
Cor et vasa	2754540703	00108650
Alexandria journal of medicine	2764586105	20905068
Obesity Medicine	2898532908	24518476
Journal of Vocational Behavior	25746158	00018791
Cancer Epidemiology	71791848	18777821
Operative Techniques in Thoracic and Cardiovascular Surgery	93988828	15222942
Transplant Immunology	155393248	09663274
Agricultural Systems	157560195	0308521X
Journal of Archaeological Science	190270160	03054403
Journal of Colloid and Interface Science	204609040	00219797
Journal of Sport and Health Science	2485047394	20952546
Manufacturing letters	2764828758	22138463
Progress in Nuclear Magnetic Resonance Spectroscopy	11006672	00796565
Microporous and Mesoporous Materials	52195378	13871811
Alzheimers & Dementia	108427512	15525260
Journal of Empirical Finance	145875555	09275398
Ecological Informatics	195809937	15749541
Health policy and technology	2764671021	22118837
IDCases	2898460781	22142509
Journal of International Economics	198098467	00221996
Defence Technology	2736621015	22149147
Journal of energy storage	2764865925	2352152X
Water Resources and Economics	2898304895	22124284
Combustion and Flame	32869529	00102180
International Journal of Hygiene and Environmental Health	83450999	14384639
Protist	103897674	14344610
Annals of Emergency Medicine	116012647	01960644
Radiography	127482523	10788174
Gender Medicine	184238227	15508579
Experimental and Toxicologic Pathology	93526581	09402993
Schizophrenia Research	144105592	09209964
Wound Medicine	2764419787	22139095
Journal of Archaeological Science: Reports	2764743818	2352409X
Ecotoxicology and Environmental Safety	13733787	01476513
Mental Health and Physical Activity	112317789	17552966
Neurotoxicology	115834843	0161813X
Annals of Vascular Surgery	124584150	08905096
Biocybernetics and Biomedical Engineering	137309422	02085216
Gene Reports	2765063225	24520144
Electoral Studies	124584455	02613794
Journal of Economics and Business	145099083	01486195
Information Economics and Policy	169221615	01676245
Food bioscience	2764726840	22124292
Archaeological Research in Asia	2898610133	23522267
Talanta	124795565	00399140
International Journal of Electrical Power & Energy Systems	168377509	01420615
Placenta	171513543	01434004
International Journal of Production Economics	184816971	09255273
Optical Materials	199247034	09253467
Neurobiology of Aging	284573	01974580
Journal of Stored Products Research	85016161	0022474X
Journal of Arid Environments	128210042	01401963
